AF,Air France,1
AI,Alitalia,1
AJ,Air Jamaica,1
ASA,Alaska Airlines,1
AT,Royal Air Maroc,1
AV,Avianca,1
CO,Continental Airlines,1
CZ,China Southern,1
DL,Delta Virtual Airlines,1
DVA,Delta Virtual Airlines,1
DVC,Delta Virtual Connection,1
KAL,Korean Air Lines,1
KLM,KLM Royal Dutch Airlines,0
LY,El Al,1
MX,AeroMexico,1
NW,Northwest Airlines,1
OK,Czech Air Lines,1
SAA,South African Airways,1
