BQK,KBQK,US/Eastern,Brunswick GA,31.2592,-81.4664
BQN,TJBQ,US/Eastern,Aguadilla Puerto Rico,18.4947,-67.1294
BRE,EDDW,Europe/Paris,Bremen Germany,53.0475,8.7867
BRI,LIBD,Europe/Paris,Bari Italy,41.1383,16.7606
BRN,LSZB,Europe/Paris,Bern Switzerland,46.9111,7.4969
BRO,KBRO,US/Central,Brownsville TX,25.9067,-97.4258
BRS,EGGD,Etc/Greenwich,Bristol United Kingdom,51.3825,-2.7189
BRU,EBBR,Europe/Paris,Brussels Belgium,50.9022,4.4986
BSB,SBBR,America/Sao_Paulo,Brasilia Brazil,-15.8625,-47.9125
BSL,LFSB,Europe/Paris,Basel Switzerland,47.5833,7.5333
BTM,KBTM,US/Mountain,Butte MT,45.9548,-112.497
BTR,KBTR,US/Central,Baton Rouge LA,30.5331,-91.1497
BTS,LZIB,Europe/Paris,Bratislava Slovakia,48.17,17.2125
BTV,KBTV,US/Eastern,Burlington VT,44.473,-73.1503
BUD,LHBM,Europe/Paris,Budapest Hungary,47.4367,19.2556
BUF,KBUF,US/Eastern,Buffalo NY,42.9406,-78.7322
BUR,KBUR,US/Pacific,Burbank CA,34.2006,-118.359
BWI,KBWI,US/Eastern,Baltimore MD,39.1754,-76.6682
BZE,MZBZ,US/Central,Belize City Belize,17.5389,-88.3081
BZN,KBZN,US/Mountain,Bozeman MT,45.7769,-111.153
BZV,FCBB,Africa/Harare,Brazzaville Congo,-4.2517,15.2528
CAE,KCAE,US/Eastern,Columbia SC,33.9388,-81.1195
CAG,LIEE,Europe/Paris,Cagliari Italy,39.2514,9.0542
CAI,HECA,Europe/Athens,Cairo Egypt,30.1219,31.4056
CAK,KCAK,US/Eastern,Akron OH,40.9164,-81.4425
CAN,ZGGG,Asia/Harbin,Guangzhou China,23.1842,113.266
CAY,SOCA,America/Sao_Paulo,Cayenne French Guinea,4.8197,-52.3603
CCS,SVMI,Chile/Continental,Caracas Venezuela,10.6031,-66.9906
CDB,PCDB,US/Alaska,Cold Bay AK,55.2056,-162.724
CDC,KCDC,US/Mountain,Cedar City UT,37.7008,-113.099
CDG,LFPG,Europe/Paris,Paris-De Gaulle France,49.0128,2.55
CEN,MMCN,US/Central,Ciudad Obregon Mexico,27.3925,-109.833
CFE,LFLC,Europe/Paris,Clermont France,45.7864,3.1692
CFR,LFRK,Europe/Paris,Caen France,49.1733,-0.45
CGK,WIII,Asia/Makassar,Jakarta Indonesia,-6.1256,106.656
CHA,KCHA,US/Eastern,Chattanooga TN,35.0353,-85.2039
CHO,KCHO,US/Eastern,Charlottesville VA,38.1386,-78.4529
CHS,KCHS,US/Eastern,Charleston SC,32.8986,-80.0405
CID,KCID,US/Central,Cedar Rapids IA,41.8847,-91.7108
CIU,KCIU,US/Eastern,Sault Sainte Marie MI,46.2506,-84.4722
CJS,MMCS,US/Central,Ciudad Juarez Mexico,31.6361,-106.429
CKB,KCKB,US/Eastern,Clarksburg WV,39.2967,-80.2281
CKY,GUCY,Africa/Casablanca,Conakry Guinea,9.5775,-13.6117
CLE,KCLE,US/Eastern,Cleveland-Hopkins OH,41.4108,-81.8494
CLT,KCLT,US/Eastern,Charlotte NC,35.2141,-80.9431
CLY,LKFC,Europe/Paris,Calvi France,42.5306,8.7931
CMH,KCMH,US/Eastern,Columbus OH,39.9981,-82.8919
CMI,KCMI,US/Central,Champaign-Urbana IL,40.0392,-88.2781
CMN,GMMC,Africa/Casablanca,Casablanca Morocco,33.3678,-7.5878
CMX,KCMX,US/Eastern,Hancock MI,47.1683,-88.4889
COD,KCOD,US/Mountain,Cody WY,44.5202,-109.024
COO,DBBB,Africa/Lagos,Cotonou Benin,6.3572,2.3842
COS,KCOS,US/Mountain,Colorado Springs CO,38.8058,-104.7
CPH,EKCH,Europe/Paris,Copenhagen Denmark,55.6178,12.6558
CPR,KCPR,US/Mountain,Casper WY,42.9084,-106.464
CPT,FACT,Africa/Johannesburg,Cape Town South Africa,-33.9644,18.6017
CRP,KCRP,US/Central,Corpus Christi TX,27.7703,-97.5501
CRW,KCRW,US/Eastern,Charleston WV,38.3731,-81.5931
CSG,KCSG,US/Eastern,Columbus GA,32.5164,-84.9389
CTA,LICC,Europe/Paris,Catania Italy,37.4667,15.0661
CTS,RJCC,Asia/Tokyo,Chitose Japan,42.775,141.692
CUL,MMCL,US/Mountain,Culiacan Mexico,24.7644,-107.474
CUN,MMUN,US/Central,Cancun Mexico,21.0364,-86.8769
CUR,TNCC,US/Eastern,Curacao Netherlands Antilles,12.1886,-68.9597
CUU,MMCU,US/Mountain,Chihuahua Mexico,28.7028,-105.964
CVG,KCVG,US/Eastern,Cincinnati OH,39.0461,-84.6622
CWA,KCWA,US/Central,Wausau WI,44.7775,-89.6667
CZM,MMCZ,US/Central,Cozumel Mexico,20.5222,-86.9256
DAB,KDAB,US/Eastern,Daytona Beach FL,29.1799,-81.0581
DAL,KDAL,US/Central,Dallas-Love Field TX,32.8472,-96.8517
DAM,OSDI,Europe/Athens,Damascus Syria,33.4114,36.5156
DAR,HTDA,Africa/Nairobi,Dar es Salaam Tanzania,-6.8781,39.2025
DAY,KDAY,US/Eastern,Dayton OH,39.9024,-84.2194
DBV,LDDU,Europe/Paris,Dubrovnik Croatia,42.5611,18.2681
DCA,KDCA,US/Eastern,Washington-Reagan DC,38.8519,-77.0375
DEL,VIDD,Asia/Calcutta,Delhi India,28.5664,77.1031
DEN,KDEN,US/Mountain,Denver CO,39.8583,-104.667
DFW,KDFW,US/Central,Dallas-Fort Worth TX,32.8958,-97.0369
DHN,KDHN,US/Central,Dothan AL,31.3213,-85.4496
DKR,YOFF,Africa/Casablanca,Dakar Senegal,14.74,-17.4892
DLA,FKKD,Africa/Lagos,Douala Cameroon,4.0058,9.7194
DLH,KDLH,US/Central,Duluth MN,46.8419,-92.1936
DOH,OTBD,Asia/Kuwait,Doha Qatar,25.2611,51.565
DSM,KDSM,US/Central,Des Moines IA,41.535,-93.6606
DTW,KDTW,US/Eastern,Detroit-Wayne County MI,42.2121,-83.3488
DUB,EIDW,Etc/Greenwich,Dublin Ireland,53.4211,-6.27
DUR,FADN,Africa/Johannesburg,Durban South Africa,-29.97,30.9503
DUS,EDDL,Europe/Paris,Dusseldorf Germany,51.2894,6.7667
DUT,PDUT,US/Alaska,Dutch Harbor AK,53.9,-166.543
DXB,OMDB,Asia/Dubai,Dubai United Arab Emirates,25.2547,55.3642
EBB,HUEN,Africa/Nairobi,Entebbe Uganda,0.0422,32.4433
EDI,EGPH,Etc/Greenwich,Edinburgh United Kingdom,55.95,-3.3725
EFD,KEFD,US/Central,Houston-Ellington TX,29.6072,-95.1586
EGE,KEGE,US/Mountain,Vail/Aspen CO,39.6425,-106.918
EKO,KEKO,US/Pacific,Elko NV,40.825,-115.792
ELM,KELM,US/Eastern,Elmira/Corning NY,42.1597,-76.8914
ELP,KELP,US/Mountain,El Paso TX,31.8067,-106.378
ELS,FAEL,Africa/Johannesburg,East London South Africa,-33.0356,27.8258
ERI,KERI,US/Eastern,Erie PA,42.0819,-80.1758
ESF,KESF,US/Central,Alexandria-Regional LA,31.3947,-92.2956
ETZ,LFJL,Europe/Paris,Metz France,48.9819,6.2511
EUG,KEUG,US/Pacific,Eugene OR,44.1233,-123.219
EVV,KEVV,US/Central,Evansville IN,38.0381,-87.5306
EWR,KEWR,US/Eastern,Newark NJ,40.6925,-74.1686
EXT,EGTE,Etc/Greenwich,Exeter United Kingdom,50.7344,-3.4139
EYW,KEYW,US/Eastern,Key West FL,24.5561,-81.7596
EZE,SAEZ,America/Sao_Paulo,Buenos Aires Argentina,-34.8228,-58.5281
FAI,PFAI,US/Alaska,Fairbanks-Intl AK,64.8136,-147.859
FAR,KFAR,US/Central,Fargo ND,46.9203,-96.8156
FAT,KFAT,US/Pacific,Fresno CA,36.7761,-119.718
FAY,KFAY,US/Eastern,Fayetteville NC,34.9915,-78.88
FCA,KFCA,US/Mountain,Kalispell/Columbia Falls MT,48.3114,-114.225
FCO,LIRF,Europe/Paris,Rome-Leonardo Italy,41.8128,12.2531
FDF,TFFF,Canada/Atlantic,Fort de France Martinique,14.5908,-61.0031
FIH,FZAA,Africa/Lagos,Kinshasa Congo,-4.3856,15.4444
FLL,KFLL,US/Eastern,Fort Lauderdale FL,26.0726,-80.1527
FLO,KFLO,US/Eastern,Florence SC,34.1853,-79.7239
FLR,LIRQ,Europe/Paris,Florence Italy,43.8097,11.205
FNI,LFTW,Europe/Paris,Nimes France,43.7572,4.4161
FNT,KFNT,US/Eastern,Flint MI,42.9653,-83.7433
FPO,MYGF,US/Eastern,Freeport Bahamas,26.5586,-78.6953
FRA,EDDF,Europe/Paris,Frankfurt Germany,50.0264,8.5431
FRU,UAFM,Asia/Novosibirsk,Ganci Air Base Kyrgyzstan,43.0614,74.4775
FSC,LFKF,Europe/Paris,Figari France,41.5006,9.0978
FSD,KFSD,US/Central,Sioux Falls SD,43.5811,-96.7417
FSM,KFSM,US/Central,Fort Smith AR,35.3364,-94.3672
FUK,RJFF,Asia/Tokyo,Fukoka Japan,33.5864,130.45
FWA,KFWA,US/East-Indiana,Fort Wayne IN,40.9785,-85.1951
GCM,MWCR,US/Eastern,Grand Cayman Cayman Islands,19.2928,-81.3575
GDL,MMGL,US/Central,Guadalajara Mexico,20.5217,-103.311
GEG,KGEG,US/Pacific,Spokane WA,47.6199,-117.534
GFK,KGFK,US/Central,Grand Forks ND,47.9492,-97.1761
GIG,SBGL,America/Sao_Paulo,Rio de Janeiro Brazil,-22.8089,-43.2436
GJT,KGJT,US/Mountain,Grand Junction CO,39.1225,-108.527
GLA,EGFP,Etc/Greenwich,Glasgow United Kingdom,55.8717,-4.43306
GLH,KGLH,US/Central,Greenville MS,33.4828,-90.9856
GND,TGPY,Canada/Atlantic,Port Salines Grenada,12.0042,-61.7861
GNV,KGNV,US/Eastern,Gainesville FL,29.6901,-82.2718
GOA,LIMJ,Europe/Paris,Genoa Italy,44.4119,8.8417
GOT,ESGG,Europe/Paris,Gothenburg Sweden,57.6628,12.2797
GPT,KGPT,US/Central,Gulfport/Biloxi MS,30.4072,-89.07
GRB,KGRB,US/Central,Green Bay WI,44.485,-88.1297
GRJ,FAGG,Africa/Johannesburg,George South Africa,-34.0053,22.3789
GRR,KGRR,US/Eastern,Grand Rapids MI,42.8808,-85.5228
GRU,SBGR,America/Sao_Paulo,Sao Paulo Brazil,-23.4322,-46.4692
GSO,KGSO,US/Eastern,Greensboro NC,36.0977,-79.9373
GSP,KGSP,US/Eastern,Greenville SC,34.8956,-82.2189
GTF,KGTF,US/Mountain,Great Falls MT,47.482,-111.371
GTR,KGTR,US/Central,Columbus MS,33.4503,-88.5914
GUA,MGGT,US/Central,Guatemala City Guatemala,14.5831,-90.5275
GUC,KGUC,US/Mountain,Gunnison CO,38.5339,-106.933
GUM,PGAC,Pacific/Port_Moresby,Guam,13.4839,144.797
