"From","To","Days","Dep.","time","Arr.","time","Flightnumber","A/C","Class","stops","via","FlightTime","ServiceType"
"08-Jun","","1234567","ATL","2100","SFO","2257","DL1550","757","FY",0,"","4:57","J"
"","07-Jun"," 23    ","ATL","2132","SFO","2340","DL1010","757","FY",0,"","5:08","J"
"TO","San Jose   (SJC)  (San Jose Municipal Airport)"
"08-Jun","30-Jun","12345 7","ATL","0948","SJC","1156","DL596","738","FY",0,"","5:08","J"
"03-Jul","","12345 7","ATL","0948","SJC","1156","DL596","738","FY",0,"","5:08","J"
"","07-Jun"," 23    ","ATL","0950","SJC","1158","DL596","738","FY",0,"","5:08","J"
"","07-Jun","  3    ","ATL","1711","SJC","1909","DL955","752","Y",0,"","4:58","J"
"08-Jun","30-Jun","1234567","ATL","1736","SJC","1935","DL1253","752","Y",0,"","4:59","J"
"01-Jul","","1234567","ATL","1746","SJC","1945","DL710","752","Y",0,"","4:59","J"
"","06-Jun"," 2     ","ATL","1811","SJC","2009","DL955","752","Y",0,"","4:58","J"
"","07-Jun","  3    ","ATL","1954","SJC","2151","DL1588","738","FY",0,"","4:57","J"
"08-Jun","30-Jun","1234567","ATL","1954","SJC","2151","DL421","738","FY",0,"","4:57","J"
"01-Jul","15-Jul","1234567","ATL","2000","SJC","2157","DL421","738","FY",0,"","4:57","J"
"17-Jul","29-Jul","1234567","ATL","2000","SJC","2157","DL421","738","FY",0,"","4:57","J"
"31-Jul","","1      ","ATL","2000","SJC","2157","DL421","738","FY",0,"","4:57","J"
"TO","San Jose   (SJO)  (Juan Santamaria International Airport)"
"","06-Jun"," 2     ","ATL","1046","SJO","1245","DL244","757","FJY",0,"","3:59","J"
"","07-Jun","  3    ","ATL","1046","SJO","1245","DL244","763","FJY",0,"","3:59","J"
"08-Jun","29-Jun","1234567","ATL","1048","SJO","1245","DL244","757","FJY",0,"","3:57","J"
"30-Jun","02-Jul","    5 7","ATL","1048","SJO","1245","DL244","763","FJY",0,"","3:57","J"
"01-Jul","08-Jul","123456 ","ATL","1048","SJO","1245","DL244","757","FJY",0,"","3:57","J"
"09-Jul","","1234567","ATL","1048","SJO","1245","DL244","757","FJY",0,"","3:57","J"
"06-Jun","01-Jul","1234567","ATL","1845","SJO","2042","DL246","757","FJY",0,"","3:57","J"
"02-Jul","02-Jul","      7","ATL","1845","SJO","2042","DL246","763","FJY",0,"","3:57","J"
"03-Jul","","1234567","ATL","1845","SJO","2042","DL246","757","FJY",0,"","3:57","J"
"TO","San Jose Cabo   (SJD)  (Los Cabos Airport)"
"07-Jun","","1234567","ATL","1050","SJD","1320","DL309","738","FJY",0,"","4:30","J"
"TO","San Juan   (SJU)  (Luis Munoz Marin International Airport)"
"10-Jun","17-Jun","     6 ","ATL","0700","SJU","1034","DL726","757","FY",0,"","3:34","J"
"11-Jun","11-Jun","      7","ATL","0700","SJU","1034","DL726","763","FY",0,"","3:34","J"
"18-Jun","24-Jun","     67","ATL","0700","SJU","1034","DL726","757","FY",0,"","3:34","J"
"25-Jun","02-Jul","      7","ATL","0700","SJU","1034","DL726","763","FY",0,"","3:34","J"
"01-Jul","08-Jul","     6 ","ATL","0700","SJU","1034","DL726","757","FY",0,"","3:34","J"
"09-Jul","22-Jul","     67","ATL","0700","SJU","1034","DL726","757","FY",0,"","3:34","J"
"23-Jul","23-Jul","      7","ATL","0700","SJU","1034","DL726","763","FY",0,"","3:34","J"
"29-Jul","","     67","ATL","0700","SJU","1034","DL726","757","FY",0,"","3:34","J"
"","06-Jun"," 2     ","ATL","0815","SJU","1146","DL728","757","FY",0,"","3:31","J"
"","07-Jun","  3    ","ATL","0815","SJU","1146","DL728","763","FY",0,"","3:31","J"
"08-Jun","16-Jun","12345 7","ATL","0930","SJU","1320","DL565","763","FY",0,"","3:50","J"
"10-Jun","10-Jun","     6 ","ATL","0930","SJU","1320","DL565","757","FY",0,"","3:50","J"
"17-Jun","26-Jun","1234567","ATL","0930","SJU","1320","DL565","763","FY",0,"","3:50","J"
"27-Jun","04-Jul"," 23    ","ATL","0930","SJU","1320","DL565","757","FY",0,"","3:50","J"
"29-Jun","10-Jul","1 34567","ATL","0930","SJU","1320","DL565","763","FY",0,"","3:50","J"
"11-Jul","","1234567","ATL","0930","SJU","1320","DL565","763","FY",0,"","3:50","J"
"","07-Jun"," 23    ","ATL","1030","SJU","1405","DL399","763","FY",0,"","3:35","J"
"08-Jun","16-Jun","1234567","ATL","1130","SJU","1511","DL579","763","FY",0,"","3:41","J"
"17-Jun","24-Jun","     6 ","ATL","1130","SJU","1511","DL579","757","FY",0,"","3:41","J"
"18-Jun","28-Jun","12345 7","ATL","1130","SJU","1511","DL579","763","FY",0,"","3:41","J"
"29-Jun","05-Jul","1 34567","ATL","1130","SJU","1511","DL579","757","FY",0,"","3:41","J"
"04-Jul","11-Jul","12 4567","ATL","1130","SJU","1511","DL579","763","FY",0,"","3:41","J"
"12-Jul","19-Jul","1234567","ATL","1130","SJU","1511","DL579","763","FY",0,"","3:41","J"
"21-Jul","28-Jul","12345 7","ATL","1130","SJU","1511","DL579","763","FY",0,"","3:41","J"
"22-Jul","22-Jul","     6 ","ATL","1130","SJU","1511","DL579","757","FY",0,"","3:41","J"
"29-Jul","","1    67","ATL","1130","SJU","1511","DL579","763","FY",0,"","3:41","J"
"","07-Jun"," 23    ","ATL","1201","SJU","1527","DL421","752","Y",0,"","3:26","J"
"09-Jun","","123 567","ATL","1630","SJU","2005","DL531","757","FY",0,"","3:35","J"
"","07-Jun"," 23    ","ATL","1819","SJU","2156","DL730","752","Y",0,"","3:37","J"
"08-Jun","","1234567","ATL","1820","SJU","2205","DL730","757","FY",0,"","3:45","J"
"TO","San Pedro Sula   (SAP)  (Ramon Villeda Morales Airport)"
"01-Jul","","1234567","ATL","1053","SAP","1311","DL263","738","FJY",0,"","3:18","J"
"08-Jun","30-Jun","1234567","ATL","1102","SAP","1320","DL263","738","FJY",0,"","3:18","J"
"TO","San Salvador   (SAL)  (Comalapa International Airport)"
"","07-Jun"," 23    ","ATL","1111","SAL","1245","DL277","738","FJY",0,"","3:34","J"
"08-Jun","","1234567","ATL","1121","SAL","1255","DL277","738","FJY",0,"","3:34","J"
"TO","Santa Ana   (SNA)  (John Wayne Airport)"
"09-Jun","","123 567","ATL","0900","SNA","1033","DL1477","757","FY",0,"","4:33","J"
"","07-Jun"," 23    ","ATL","0902","SNA","1035","DL1477","757","FY",0,"","4:33","J"
"","07-Jun","  3    ","ATL","1059","SNA","1233","DL829","757","FY",0,"","4:34","J"
"08-Jun","30-Jun","12345  ","ATL","1100","SNA","1234","DL829","757","FY",0,"","4:34","J"
"04-Jul","","12345  ","ATL","1100","SNA","1234","DL829","757","FY",0,"","4:34","J"
"","07-Jun"," 23    ","ATL","1825","SNA","1954","DL825","757","FY",0,"","4:29","J"
"08-Jun","12-Jul","1234567","ATL","1832","SNA","2001","DL825","757","FY",0,"","4:29","J"
"14-Jul","26-Jul","1234567","ATL","1832","SNA","2001","DL825","757","FY",0,"","4:29","J"
"28-Jul","","1   567","ATL","1832","SNA","2001","DL825","757","FY",0,"","4:29","J"
"","07-Jun"," 23    ","ATL","2043","SNA","2209","DL1052","757","FY",0,"","4:26","J"
"08-Jun","","1234567","ATL","2046","SNA","2212","DL1067","757","FY",0,"","4:26","J"
"TO","Santiago   (SCL)  (Arturo Merino Benitez Airport)"
"06-Jun","24-Jun","12 4 67","ATL","2205","SCL","0730+1","DL147","767","JY",0,"","9:25","J"
"14-Jun","21-Jun","  3    ","ATL","2205","SCL","0730+1","DL147","762","FJY",0,"","9:25","J"
"23-Jun","30-Jun","    5  ","ATL","2205","SCL","0730+1","DL147","762","FJY",0,"","9:25","J"
"26-Jun","06-Jul","1234 67","ATL","2205","SCL","0730+1","DL147","767","JY",0,"","9:25","J"
"07-Jul","","1234567","ATL","2205","SCL","0730+1","DL147","767","JY",0,"","9:25","J"
"TO","Santo Domingo   (SDQ)  (Las Americas Airport)"
"","07-Jun"," 23    ","ATL","0945","SDQ","1308","DL332","738","FJY",0,"","3:23","J"
"08-Jun","","1234567","ATL","0945","SDQ","1321","DL332","738","FJY",0,"","3:36","J"
"TO","Sao Paulo   (SAO)  (GRU-Guarulhos International Airport)"
"06-Jun","","1234567","ATL","1945","GRU","0605+1","DL105","767","JY",0,"","9:20","J"
"20-Jun","20-Jun"," 2     ","ATL","2100","GRU","0725+1","DL123","762","FJY",0,"","9:25","J"
"05-Jul","05-Jul","  3    ","ATL","2100","GRU","0725+1","DL123","762","FJY",0,"","9:25","J"
"TO","Sarasota   (SRQ)  (Bradenton Airport)"
"","07-Jun"," 23    ","ATL","0910","SRQ","1039","DL1487","M88","FY",0,"","1:29","J"
"08-Jun","30-Jun","1234567","ATL","0910","SRQ","1040","DL1615","M88","FY",0,"","1:30","J"
"01-Jul","","1234567","ATL","0910","SRQ","1040","DL1131","M88","FY",0,"","1:30","J"
"08-Jun","","1234567","ATL","1100","SRQ","1230","DL4781*","CRJ","Y",0,"","1:30","J"
"","07-Jun"," 23    ","ATL","1230","SRQ","1356","DL1546","738","FY",0,"","1:26","J"
"08-Jun","19-Jun","1  456 ","ATL","1313","SRQ","1440","DL1472","738","FY",0,"","1:27","J"
"13-Jun","21-Jun"," 23    ","ATL","1313","SRQ","1440","DL1472","M88","FY",0,"","1:27","J"
"22-Jun","28-Jun"," 234   ","ATL","1313","SRQ","1440","DL1472","M88","FY",0,"","1:27","J"
"23-Jun","","1  456 ","ATL","1313","SRQ","1440","DL1472","738","FY",0,"","1:27","J"
"04-Jul",""," 23    ","ATL","1313","SRQ","1440","DL1472","M88","FY",0,"","1:27","J"
"","07-Jun"," 23    ","ATL","1515","SRQ","1641","DL1219","M88","FY",0,"","1:26","J"
"08-Jun","30-Jun","1234567","ATL","1518","SRQ","1645","DL409","M88","FY",0,"","1:27","J"
"01-Jul","","1234567","ATL","1522","SRQ","1649","DL409","M88","FY",0,"","1:27","J"
"08-Jun","","1234567","ATL","1703","SRQ","1835","DL4422*","CRJ","Y",0,"","1:32","J"
"","07-Jun"," 23    ","ATL","1704","SRQ","1835","DL1614","M88","FY",0,"","1:31","J"
"08-Jun","","1234567","ATL","1908","SRQ","2039","DL1154","M88","FY",0,"","1:31","J"
"","06-Jun"," 2     ","ATL","2037","SRQ","2205","DL838","738","FY",0,"","1:28","J"
"","07-Jun","  3    ","ATL","2037","SRQ","2205","DL838","M88","FY",0,"","1:28","J"
"08-Jun","","1234567","ATL","2139","SRQ","2309","DL4780*","CRJ","Y",0,"","1:30","J"
"TO","Savannah   (SAV)  (Savannah/Hilton Head Airport)"
"02-Jul","10-Jul","1 345 7","ATL","0800","SAV","0905","DL4511*","CR2","Y",0,"","1:05","J"
"11-Jul","","12345 7","ATL","0800","SAV","0905","DL4511*","CR2","Y",0,"","1:05","J"
"","07-Jun"," 23    ","ATL","0922","SAV","1024","DL1511","732","FY",0,"","1:02","J"
"08-Jun","","1234567","ATL","0928","SAV","1036","DL904","M88","FY",0,"","1:08","J"
"08-Jun","30-Jun","1234567","ATL","1050","SAV","1155","DL1563","M88","FY",0,"","1:05","J"
"01-Jul","","1234567","ATL","1050","SAV","1155","DL889","M88","FY",0,"","1:05","J"
"","07-Jun"," 23    ","ATL","1050","SAV","1156","DL1571","M88","FY",0,"","1:06","J"
"","07-Jun"," 23    ","ATL","1235","SAV","1335","DL4752*","CR7","Y",0,"","1:00","J"
"08-Jun","08-Jun","   4   ","ATL","1256","SAV","1354","DL9716","757","FY",0,"","0:58","J"
"09-Jun","02-Jul","12345 7","ATL","1256","SAV","1354","DL362","757","FY",0,"","0:58","J"
"05-Jul","","12345 7","ATL","1256","SAV","1354","DL362","757","FY",0,"","0:58","J"
"08-Jun","","1234567","ATL","1421","SAV","1521","DL1157","M88","FY",0,"","1:00","J"
"","07-Jun"," 23    ","ATL","1422","SAV","1518","DL1807","M88","FY",0,"","0:56","J"
"","07-Jun"," 23    ","ATL","1529","SAV","1629","DL800","738","FY",0,"","1:00","J"
"08-Jun","30-Jun","1234567","ATL","1529","SAV","1632","DL349","M88","FY",0,"","1:03","J"
"01-Jul","","1234567","ATL","1531","SAV","1634","DL349","M88","FY",0,"","1:03","J"
"","07-Jun"," 23    ","ATL","1654","SAV","1758","DL1904","M88","FY",0,"","1:04","J"
"08-Jun","","1234567","ATL","1655","SAV","1803","DL1904","M88","FY",0,"","1:08","J"
"","07-Jun"," 23    ","ATL","1822","SAV","1931","DL1877","M88","FY",0,"","1:09","J"
"08-Jun","","1234567","ATL","1824","SAV","1934","DL459","M88","FY",0,"","1:10","J"
"08-Jun","","1234567","ATL","1946","SAV","2049","DL1516","M88","FY",0,"","1:03","J"
"","07-Jun","  3    ","ATL","1955","SAV","2059","DL884","M88","FY",0,"","1:04","J"
"","06-Jun"," 2     ","ATL","2130","SAV","2229","DL1163","738","FY",0,"","0:59","J"
"","07-Jun","  3    ","ATL","2130","SAV","2229","DL1163","M88","FY",0,"","0:59","J"
"08-Jun","","1234  7","ATL","2135","SAV","2234","DL505","757","FY",0,"","0:59","J"
"09-Jun","","    56 ","ATL","2135","SAV","2234","DL505","M88","FY",0,"","0:59","J"
"TO","Seattle   (SEA)  (Seattle/Tacoma International Airport)"
"08-Jun","","1234567","ATL","0815","SEA","1023","DL1115","763","FY",0,"","5:08","J"
"","06-Jun"," 2     ","ATL","0850","SEA","1058","DL1555","757","FY",0,"","5:08","J"
"","07-Jun","  3    ","ATL","0850","SEA","1100","DL1555","738","FY",0,"","5:10","J"
"08-Jun","","1234567","ATL","0932","SEA","1150","DL1557","763","FY",0,"","5:18","J"
"","07-Jun"," 23    ","ATL","1000","SEA","1216","DL1557","763","FY",0,"","5:16","J"
"","07-Jun","  3    ","ATL","1100","SEA","1307","DL823","757","FY",0,"","5:07","J"
"08-Jun","","12 45 7","ATL","1100","SEA","1307","DL823","738","FY",0,"","5:07","J"
"08-Jun","23-Jun","1234567","ATL","1220","SEA","1612","DL818","757","FY",1,"SLC","6:52","J"
"24-Jun","01-Jul","     6 ","ATL","1220","SEA","1612","DL818","763","FY",1,"SLC","6:52","J"
"25-Jun","03-Jul","12345 7","ATL","1220","SEA","1612","DL818","757","FY",1,"SLC","6:52","J"
"04-Jul","08-Jul"," 23  6 ","ATL","1220","SEA","1612","DL818","763","FY",1,"SLC","6:52","J"
"06-Jul","14-Jul","12345 7","ATL","1220","SEA","1612","DL818","757","FY",1,"SLC","6:52","J"
"15-Jul","21-Jul","1234567","ATL","1220","SEA","1612","DL818","757","FY",1,"SLC","6:52","J"
"22-Jul","22-Jul","     6 ","ATL","1220","SEA","1612","DL818","763","FY",1,"SLC","6:52","J"
"23-Jul","","1234567","ATL","1220","SEA","1612","DL818","757","FY",1,"SLC","6:52","J"
"08-Jun","02-Jul","1234567","ATL","1505","SEA","1710","DL533","757","FY",0,"","5:05","J"
"03-Jul","03-Jul","1      ","ATL","1505","SEA","1710","DL533","763","FY",0,"","5:05","J"
"04-Jul","","1234567","ATL","1505","SEA","1710","DL533","757","FY",0,"","5:05","J"
"","07-Jun"," 23    ","ATL","1510","SEA","1715","DL1483","757","FY",0,"","5:05","J"
"","07-Jun"," 23    ","ATL","1720","SEA","1939","DL533","757","FY",0,"","5:19","J"
"08-Jun","02-Jul","1234567","ATL","1725","SEA","1938","DL1038","763","FY",0,"","5:13","J"
"03-Jul","03-Jul","1      ","ATL","1725","SEA","1938","DL1038","757","FY",0,"","5:13","J"
"04-Jul","","1234567","ATL","1725","SEA","1938","DL1038","763","FY",0,"","5:13","J"
"","07-Jun"," 23    ","ATL","1904","SEA","2117","DL345","763","FY",0,"","5:13","J"
"08-Jun","14-Jun","1234567","ATL","1921","SEA","2130","DL345","763","FY",0,"","5:09","J"
"01-Jul","19-Jul","1234567","ATL","1921","SEA","2130","DL574","763","FY",0,"","5:09","J"
"21-Jul","","1234567","ATL","1921","SEA","2130","DL574","763","FY",0,"","5:09","J"
"15-Jun","30-Jun","1234567","ATL","1956","SEA","2205","DL345","763","FY",0,"","5:09","J"
"","07-Jun"," 23    ","ATL","2101","SEA","2310","DL968","757","FY",0,"","5:09","J"
"08-Jun","28-Jun","1234567","ATL","2108","SEA","2316","DL968","757","FY",0,"","5:08","J"
"29-Jun","01-Jul","   4 6 ","ATL","2108","SEA","2316","DL968","763","FY",0,"","5:08","J"
"30-Jun","07-Jul","12345 7","ATL","2108","SEA","2316","DL968","757","FY",0,"","5:08","J"
"08-Jul","","1234567","ATL","2108","SEA","2316","DL968","757","FY",0,"","5:08","J"
"TO","Seoul   (SEL)  (ICN-Incheon International Airport)"
"06-Jun","30-Jul","1234567","ATL","1310","ICN","1635+1","DL7850*","744","JY",0,"","14:25","J"
"31-Jul","","1      ","ATL","1310","ICN","1655+1","DL7850*","744","JY",0,"","14:45","J"
"TO","Shannon   (SNN)  (Shannon Airport)"
"06-Jun","","1234567","ATL","1850","SNN","0720+1","DL156","764","FY",0,"","7:30","J"
"TO","Shreveport   (SHV)  (Shreveport Regional Airport)"
"08-Jun","03-Jul","1234567","ATL","0924","SHV","1015","DL4815*","CRJ","Y",0,"","1:51","J"
"05-Jul","","1234567","ATL","0924","SHV","1015","DL4815*","CRJ","Y",0,"","1:51","J"
"","07-Jun"," 23    ","ATL","0934","SHV","1025","DL4541*","CRJ","Y",0,"","1:51","J"
"","07-Jun"," 23    ","ATL","1213","SHV","1258","DL4200*","CRJ","Y",0,"","1:45","J"
"08-Jun","","1234567","ATL","1220","SHV","1305","DL4200*","CRJ","Y",0,"","1:45","J"
"","07-Jun"," 23    ","ATL","1540","SHV","1627","DL4253*","CR2","Y",0,"","1:47","J"
"08-Jun","","1234567","ATL","1542","SHV","1629","DL4253*","CRJ","Y",0,"","1:47","J"
"08-Jun","","1234567","ATL","1812","SHV","1901","DL4537*","CR2","Y",0,"","1:49","J"
"","07-Jun"," 23    ","ATL","1819","SHV","1908","DL4537*","CR2","Y",0,"","1:49","J"
"","07-Jun"," 23    ","ATL","2100","SHV","2141","DL4931*","CRJ","Y",0,"","1:41","J"
"08-Jun","02-Jul","12345 7","ATL","2103","SHV","2149","DL4931*","CRJ","Y",0,"","1:46","J"
"04-Jul","","12345 7","ATL","2103","SHV","2149","DL4931*","CRJ","Y",0,"","1:46","J"
"TO","South Bend   (SBN)  (South Bend Regional)"
"08-Jun","","1234567","ATL","0906","SBN","1056","DL6253*","ERJ","Y",0,"","1:50","J"
"","07-Jun"," 23    ","ATL","0915","SBN","1105","DL4533*","CRJ","Y",0,"","1:50","J"
"08-Jun","","1234567","ATL","1512","SBN","1703","DL6264*","ERJ","Y",0,"","1:51","J"
"","07-Jun"," 23    ","ATL","1602","SBN","1746","DL4534*","CRJ","Y",0,"","1:44","J"
"08-Jun","02-Jul","12345 7","ATL","2040","SBN","2231","DL6367*","ERJ","Y",0,"","1:51","J"
"04-Jul","","12345 7","ATL","2040","SBN","2231","DL6367*","ERJ","Y",0,"","1:51","J"
"","07-Jun"," 23    ","ATL","2126","SBN","2317","DL6367*","ERJ","Y",0,"","1:51","J"
"TO","Southern Pines   (SOP)  (Pinehurst-S. Pines Airport)"
"22-Jun","","1 34567","ATL","0930","SOP","1045","DL4738*","CR2","Y",0,"","1:15","J"
"TO","Spokane   (GEG)  (Spokane International Airport)"
"02-Jul","","12345 7","ATL","1434","GEG","1823","DL6848*","320","FY",1,"MSP","6:49","J"
"08-Jul","","     6 ","ATL","1434","GEG","1823","DL6848*","D93","FY",1,"MSP","6:49","J"
"08-Jun","23-Jun","12345 7","ATL","1434","GEG","1824","DL6848*","320","FY",1,"MSP","6:50","J"
"10-Jun","01-Jul","     6 ","ATL","1434","GEG","1824","DL6848*","D93","FY",1,"MSP","6:50","J"
"25-Jun","25-Jun","      7","ATL","1434","GEG","1824","DL6848*","319","FY",1,"MSP","6:50","J"
"26-Jun","30-Jun","12345  ","ATL","1434","GEG","1824","DL6848*","320","FY",1,"MSP","6:50","J"
"TO","Springfield   (SGF)  (Springfield-Branson Regional Airport)"
"","07-Jun"," 23    ","ATL","1058","SGF","1151","DL4759*","CRJ","Y",0,"","1:53","J"
"08-Jun","","1234567","ATL","1100","SGF","1155","DL4759*","CRJ","Y",0,"","1:55","J"
"08-Jun","03-Jul","1234567","ATL","1610","SGF","1702","DL4303*","CRJ","Y",0,"","1:52","J"
"05-Jul","","1234567","ATL","1610","SGF","1702","DL4303*","CRJ","Y",0,"","1:52","J"
"08-Jun","30-Jun","12345 7","ATL","2010","SGF","2102","DL4811*","CRJ","Y",0,"","1:52","J"
"","07-Jun"," 23    ","ATL","2025","SGF","2117","DL4811*","CRJ","Y",0,"","1:52","J"
"02-Jul","09-Jul"," 2345 7","ATL","2035","SGF","2127","DL4811*","CRJ","Y",0,"","1:52","J"
"10-Jul","","12345 7","ATL","2035","SGF","2127","DL4811*","CRJ","Y",0,"","1:52","J"
"TO","Stuttgart   (STR)  (Echterdingen Airport)"
"06-Jun","","1234567","ATL","1800","STR","0910+1","DL116","767","JY",0,"","9:10","J"
"TO","Syracuse   (SYR)  (Hancock International Airport)"
"01-Jul","","1234567","ATL","0910","SYR","1127","DL1021","M88","FY",0,"","2:17","J"
"08-Jun","30-Jun","1234567","ATL","0912","SYR","1129","DL1021","M88","FY",0,"","2:17","J"
"","07-Jun"," 23    ","ATL","0913","SYR","1132","DL613","M88","FY",0,"","2:19","J"
"","07-Jun"," 23    ","ATL","1247","SYR","1459","DL4363*","CRJ","Y",0,"","2:12","J"
"08-Jun","","1234567","ATL","1345","SYR","1559","DL4363*","CRJ","Y",0,"","2:14","J"
"08-Jun","","1234567","ATL","1542","SYR","1756","DL4750*","CRJ","Y",0,"","2:14","J"
"","07-Jun"," 23    ","ATL","1546","SYR","1755","DL4825*","CRJ","Y",0,"","2:09","J"
"08-Jun","","1234567","ATL","1915","SYR","2125","DL1070","M88","FY",0,"","2:10","J"
"","07-Jun"," 23    ","ATL","1915","SYR","2129","DL1504","M88","FY",0,"","2:14","J"
"08-Jun","","1234567","ATL","2130","SYR","2339","DL4618*","CRJ","Y",0,"","2:09","J"
"","07-Jun"," 23    ","ATL","2240","SYR","0051+1","DL4169*","CRJ","Y",0,"","2:11","J"
"TO","Tallahassee   (TLH)  (Tallahassee Municipal Airport)"
"","07-Jun"," 23    ","ATL","0908","TLH","1011","DL1589","M88","FY",0,"","1:03","J"
"08-Jun","","1234567","ATL","0917","TLH","1025","DL1435","M88","FY",0,"","1:08","J"
"","07-Jun"," 23    ","ATL","1125","TLH","1223","DL1768","M88","FY",0,"","0:58","J"
"08-Jun","","1234567","ATL","1212","TLH","1314","DL4611*","CRJ","Y",0,"","1:02","J"
"","07-Jun"," 23    ","ATL","1400","TLH","1455","DL1124","738","FY",0,"","0:55","J"
"08-Jun","","1234567","ATL","1410","TLH","1510","DL4702*","CRJ","Y",0,"","1:00","J"
"","07-Jun"," 23    ","ATL","1621","TLH","1719","DL684","M88","FY",0,"","0:58","J"
"08-Jun","","12345 7","ATL","1623","TLH","1724","DL4500*","CR7","Y",0,"","1:01","J"
"10-Jun","","     6 ","ATL","1623","TLH","1724","DL4500*","CRJ","Y",0,"","1:01","J"
"02-Jul","","1 345 7","ATL","1730","TLH","1835","DL4526*","CRJ","Y",0,"","1:05","J"
"","07-Jun","  3    ","ATL","1901","TLH","2005","DL1128","738","FY",0,"","1:04","J"
"08-Jun","","1234567","ATL","1950","TLH","2051","DL797","738","FY",0,"","1:01","J"
"","06-Jun"," 2     ","ATL","2006","TLH","2110","DL1128","738","FY",0,"","1:04","J"
"08-Jun","","1234567","ATL","2254","TLH","2359","DL1137","M88","FY",0,"","1:05","J"
"","07-Jun","  3    ","ATL","2255","TLH","2357","DL1401","M88","FY",0,"","1:02","J"
"TO","Tampa   (TPA)  (Tampa International Airport)"
"","07-Jun"," 23    ","ATL","0730","TPA","0850","DL1797","752","Y",0,"","1:20","J"
"08-Jun","02-Jul","12345 7","ATL","0750","TPA","0915","DL1143","764","FY",0,"","1:25","J"
"04-Jul","","12345 7","ATL","0750","TPA","0915","DL1143","764","FY",0,"","1:25","J"
"","07-Jun"," 23    ","ATL","0820","TPA","0940","DL1143","764","FY",0,"","1:20","J"
"01-Jul","","1234567","ATL","0905","TPA","1032","DL1797","752","Y",0,"","1:27","J"
"08-Jun","30-Jun","1234567","ATL","0910","TPA","1037","DL1797","752","Y",0,"","1:27","J"
"08-Jun","30-Jun","1234567","ATL","1024","TPA","1157","DL1093","M88","FY",0,"","1:33","J"
"01-Jul","","1234567","ATL","1029","TPA","1202","DL1132","M88","FY",0,"","1:33","J"
"","07-Jun"," 23    ","ATL","1037","TPA","1212","DL1093","738","FY",0,"","1:35","J"
"","06-Jun"," 2     ","ATL","1200","TPA","1322","DL1144","738","FY",0,"","1:22","J"
"","07-Jun","  3    ","ATL","1200","TPA","1322","DL1144","M88","FY",0,"","1:22","J"
"08-Jun","","1234567","ATL","1200","TPA","1322","DL1144","757","FY",0,"","1:22","J"
"","07-Jun"," 23    ","ATL","1414","TPA","1537","DL481","M88","FY",0,"","1:23","J"
"08-Jun","","1234567","ATL","1420","TPA","1546","DL481","752","Y",0,"","1:26","J"
"","07-Jun"," 23    ","ATL","1600","TPA","1722","DL1254","752","Y",0,"","1:22","J"
"08-Jun","","1234567","ATL","1600","TPA","1729","DL1007","757","FY",0,"","1:29","J"
"08-Jun","30-Jun","12345 7","ATL","1733","TPA","1900","DL1614","M88","FY",0,"","1:27","J"
"02-Jul","09-Jul"," 2345 7","ATL","1733","TPA","1900","DL1674","M88","FY",0,"","1:27","J"
"10-Jul","","12345 7","ATL","1733","TPA","1900","DL1674","M88","FY",0,"","1:27","J"
"","07-Jun","  3    ","ATL","1741","TPA","1910","DL1006","757","FY",0,"","1:29","J"
"08-Jun","14-Jun","1234567","ATL","1910","TPA","2043","DL1460","764","FY",0,"","1:33","J"
"01-Jul","","1234567","ATL","1910","TPA","2043","DL1460","764","FY",0,"","1:33","J"
"15-Jun","30-Jun","1234567","ATL","1920","TPA","2053","DL1460","763","FY",0,"","1:33","J"
"","07-Jun","  3    ","ATL","1955","TPA","2120","DL975","763","FY",0,"","1:25","J"
"","06-Jun"," 2     ","ATL","1955","TPA","2120","DL975","764","FY",0,"","1:25","J"
"08-Jun","","1234567","ATL","2031","TPA","2157","DL1530","M88","FY",0,"","1:26","J"
"08-Jun","","1234567","ATL","2234","TPA","0001+1","DL1255","738","FY",0,"","1:27","J"
"","07-Jun"," 23    ","ATL","2255","TPA","0019+1","DL1189","738","FY",0,"","1:24","J"
"TO","Tel Aviv-Yafo   (TLV)  (Ben Gurion International Airport)"
"06-Jun","","1234567","ATL","2245","TLV","1725+1","DL152","777","JY",0,"","11:40","J"
"TO","Tokyo   (TYO)  (NRT-Narita Airport)"
"06-Jun","","1234567","ATL","1025","NRT","1325+1","DL55","777","JY",0,"","14:00","J"
"TO","Toledo   (TOL)  (Express Airport)"
"08-Jun","","1234567","ATL","0806","TOL","0952","DL5136*","CRJ","Y",0,"","1:46","J"
"","06-Jun"," 2     ","ATL","0809","TOL","0955","DL4546*","CRJ","Y",0,"","1:46","J"
"","07-Jun"," 23    ","ATL","1403","TOL","1543","DL4548*","CRJ","Y",0,"","1:40","J"
"08-Jun","","1234567","ATL","1405","TOL","1545","DL4548*","CR2","Y",0,"","1:40","J"
"08-Jun","","1234567","ATL","1849","TOL","2033","DL4547*","CRJ","Y",0,"","1:44","J"
"","07-Jun"," 23    ","ATL","1850","TOL","2034","DL4547*","CRJ","Y",0,"","1:44","J"
"TO","Toronto   (YTO)  (YYZ-Pearson International Airport)"
"08-Jun","","1234567","ATL","0912","YYZ","1130","DL748","M88","FY",0,"","2:18","J"
"","07-Jun"," 23    ","ATL","0913","YYZ","1128","DL4303*","CRJ","Y",0,"","2:15","J"
