"From","To","Days","Dep.","time","Arr.","time","Flightnumber","A/C","Class","stops","via","FlightTime","ServiceType"
"04-Jul","","12345 7","CAK","1806","CVG","1907","DL5275*","CR2","Y",0,"","1:01","J"
"","07-Jun"," 23    ","CAK","1806","CVG","1917","DL5260*","CR2","Y",0,"","1:11","J"
"TO","Dallas   (DFW)  (Dallas/Ft. Worth International Airport)"
"","07-Jun"," 23    ","CAK","0605","DFW","1009","DL5281*","CR7","Y",1,"CVG","5:04","J"
"TO","Denver   (DEN)  (Denver International Airport)"
"01-Jul","01-Jul","     6 ","CAK","0610","DEN","0950","DL5318*","CR7","Y",1,"CVG","5:40","J"
"TO","Fort Myers   (FMY)  (RSW-Southwest Florida Regional Airport)"
"08-Jun","30-Jun","123456 ","CAK","0605","RSW","1025","DL5281*","CR7","Y",1,"CVG","4:20","J"
"11-Jun","25-Jun","      7","CAK","0805","RSW","1225","DL5281*","CR7","Y",1,"CVG","4:20","J"
"TO","Grand Rapids   (GRR)  (Kent County International Airport)"
"02-Jul","09-Jul"," 2    7","CAK","1210","GRR","1539","DL5330*","CR2","Y",1,"CVG","3:29","J"
"16-Jul","","      7","CAK","1210","GRR","1539","DL5330*","CR2","Y",1,"CVG","3:29","J"
"TO","Gulfport   (GPT)  (Biloxi Regional Airport)"
"01-Jul","10-Jul","1 34567","CAK","1630","GPT","1930","DL4774*","CRJ","Y",1,"ATL","4:00","J"
"11-Jul","","1234567","CAK","1630","GPT","1930","DL4774*","CRJ","Y",1,"ATL","4:00","J"
"TO","Minneapolis   (MSP)  (St Paul International Airport)"
"08-Jun","30-Jun","1234567","CAK","0720","MSP","1240","DL5912*","CR7","Y",1,"ATL","6:20","J"
"01-Jul","","1234567","CAK","0720","MSP","1240","DL5577*","CR7","Y",1,"ATL","6:20","J"
"TO","Myrtle Beach   (MYR)  (Myrtle Beach Air Force Base)"
"08-Jun","02-Jul","12345 7","CAK","1806","MYR","2157","DL5275*","CR2","Y",1,"CVG","3:51","J"
"04-Jul","","12345 7","CAK","1806","MYR","2157","DL5275*","CR2","Y",1,"CVG","3:51","J"
"TO","Orlando   (ORL)  (MCO-Orlando International Airport)"
"08-Jun","","1234567","CAK","1550","MCO","1825","DL6071*","ER4","Y",0,"","2:35","J"
"","07-Jun"," 23    ","CAK","1600","MCO","1835","DL6071*","ER4","Y",0,"","2:35","J"
"TO","Springfield   (SGF)  (Springfield-Branson Regional Airport)"
"08-Jun","","1234567","CAK","1331","SGF","1635","DL6556*","CRJ","Y",1,"DTW","4:04","J"
"08-Jun","03-Jul","123456 ","CAK","1625","SGF","1901","DL5424*","CR2","Y",1,"CVG","3:36","J"
"05-Jul","","123456 ","CAK","1625","SGF","1901","DL5424*","CR2","Y",1,"CVG","3:36","J"
""
""
"FROM","Albany (ABY)"
"TO","Atlanta   (ATL)  (Hartsfield-Jackson Atlanta International Airport)"
"08-Jun","08-Jun","   4   ","ABY","0600","ATL","0648","DL4839*","CRJ","Y",0,"","0:48","J"
"09-Jun","01-Jul","1234567","ABY","0600","ATL","0648","DL4839*","CR2","Y",0,"","0:48","J"
"02-Jul","","1234567","ABY","0600","ATL","0648","DL4839*","CRJ","Y",0,"","0:48","J"
"","07-Jun"," 23    ","ABY","0635","ATL","0723","DL4622*","CRJ","Y",0,"","0:48","J"
"08-Jun","30-Jun","1234567","ABY","1030","ATL","1122","DL4286*","CRJ","Y",0,"","0:52","J"
"01-Jul","","1234567","ABY","1035","ATL","1127","DL4286*","CRJ","Y",0,"","0:52","J"
"","07-Jun"," 23    ","ABY","1133","ATL","1225","DL4286*","CRJ","Y",0,"","0:52","J"
"01-Jul","","     6 ","ABY","1415","ATL","1513","DL4287*","CR2","Y",0,"","0:58","J"
"02-Jul","","12345 7","ABY","1420","ATL","1518","DL4287*","CR2","Y",0,"","0:58","J"
"06-Jun","30-Jun","1234567","ABY","1425","ATL","1523","DL4287*","CR2","Y",0,"","0:58","J"
"08-Jun","02-Jul","12345 7","ABY","1740","ATL","1837","DL4285*","CRJ","Y",0,"","0:57","J"
"05-Jul","","12345 7","ABY","1740","ATL","1837","DL4285*","CRJ","Y",0,"","0:57","J"
"","07-Jun"," 23    ","ABY","1837","ATL","1934","DL4285*","CRJ","Y",0,"","0:57","J"
""
""
"FROM","Albany (ALB)"
"TO","Atlanta   (ATL)  (Hartsfield-Jackson Atlanta International Airport)"
"","07-Jun"," 23    ","ALB","0600","ATL","0841","DL4852*","CR7","Y",0,"","2:41","J"
"08-Jun","","1234567","ALB","0600","ATL","0841","DL4334*","CR7","Y",0,"","2:41","J"
"08-Jun","07-Jul","1234567","ALB","0800","ATL","1032","DL900","732","FY",0,"","2:32","J"
"08-Jul","","1234567","ALB","0800","ATL","1032","DL4625*","CRJ","Y",0,"","2:32","J"
"","07-Jun"," 23    ","ALB","0800","ATL","1037","DL900","732","FY",0,"","2:37","J"
